Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b3319	196960	229535	296477	200700	208438	287393	167900	332934	101828	66435	29801	28236	host	rplD	0.552451197874563	0	1
gene-b1989	837	1495	1006	893	775	895	2209	813	537	384	343	223	host	asnV	0.6008173961043327	0	1
gene-b3458	7310	10283	5994	6023	1812	3115	1065	1895	2014	1263	1979	2081	host	livK	0.7550011745026678	0	1
gene-b1832	8636	11070	7286	6509	2831	3865	1805	3382	2070	1387	1458	1584	host	msrC	0.7214297210638544	0	1
gene-b3087	565	561	405	372	136	204	114	204	135	114	105	152	host	ygjR	0.6513411754345133	0	1
gene-b2598	1332	1401	643	591	287	245	229	284	206	153	217	205	host	pheL	0.8734681662275858	0	1
gene-b2553	3388	4459	2840	2501	1500	1632	1221	2193	1498	902	798	834	host	glnB	0.5495846788548506	0	1
gene-b3882	42	80	66	47	30	36	15	26	39	9	14	39	host	yihU	0.5412478761489391	0	1
gene-b0215	1567	2221	1804	1328	937	4664	679	1210	635	432	377	423	host	dnaQ	0.8458123021666512	0	1
gene-b0167	3060	3558	2810	2381	884	1587	544	804	943	624	559	652	host	glnD	0.6944504041354884	0	1
gene-b2471	1160	1428	1045	850	389	645	355	635	327	224	236	272	host	yffB	0.6163715240114892	0	1
gene-b0528	1981	1982	1381	1148	693	751	654	1237	660	480	361	337	host	ybcJ	0.5673845046645912	0	1
gene-b1288	15106	16772	15682	12873	7737	10849	7065	12022	5836	3882	2128	2277	host	fabI	0.5367240849468811	0	1
gene-b1985	380	425	332	305	116	167	100	139	124	58	50	100	host	yeeO	0.6591700030610078	0	1
gene-b3163	26363	30721	44607	35421	30474	41599	23071	44568	10197	6444	4676	4905	host	nlpI	0.582786795696953	0	1
gene-b1631	1015	1124	976	892	696	1028	499	1047	295	195	108	116	host	rsxG	0.5746261333739621	0	1
gene-b0402	1736	1570	1783	1575	1005	1302	562	1081	437	262	204	238	host	proY	0.6018363966873811	0	1
gene-b2701	472	529	434	328	212	274	107	266	129	86	75	93	host	mltB	0.6171396060021835	0	1
gene-b4483	899	945	932	818	502	721	411	747	571	368	200	193	host	tatD	0.4311544442382565	0	1
gene-b2278	18760	16393	17601	14092	7600	11295	6954	10714	7862	4785	3161	3420	host	nuoL	0.5136015000277026	0	1
gene-b3064	2947	3169	3873	3204	2259	2847	1475	2765	1178	802	464	433	host	tsaD	0.5387583201424212	0	1
gene-b0298	40	64	66	44	18	31	24	28	24	17	15	27	host	insE1	0.4963186107020458	0	1
gene-b4194	45	62	55	40	24	31	14	24	17	7	8	16	host	ulaB	0.6107367235649083	0	1
gene-b2145	78	99	64	41	39	35	34	55	34	28	23	18	host	yeiS	0.5039933239694612	0	1
gene-b4797	140	208	158	147	69	110	54	100	79	37	45	42	host	yicU	0.5276731530827977	0	1
gene-b0198	3312	3301	3056	2416	1367	2161	1216	2504	837	578	458	481	host	metI	0.5893075478212514	0	1
gene-b4383	2460	3064	2777	2317	1373	1961	767	1416	744	498	435	470	host	deoB	0.60524294215485	0	1
gene-b0290	243	359	262	195	108	161	101	164	105	60	60	118	host	ecpD	0.5340679295534432	0	1
gene-b0013	36	30	28	24	11	15	18	19	15	15	10	16	host	yaaI	0.3900843311357677	0	1
gene-b0128	375	442	436	371	278	308	130	303	106	90	66	102	host	yadH	0.5466598782142565	0	1
gene-b2715	341	407	356	264	161	219	145	192	133	79	76	122	host	ascF	0.5119683171690496	0	1
gene-T7p11	0	0	8	2	3	5	178	443	1471	924	1037	1426	phage	gene-T7p11	1.2343194096640122	0	0
gene-b2916	2078	2580	1212	1089	541	696	505	927	648	459	466	503	host	argP	0.675334231144394	0	1
gene-b4147	24111	28134	26418	21545	15834	20256	13668	24122	11481	7257	4247	4549	host	efp	0.4860342227819064	0	1
gene-b3383	414	617	587	553	335	547	243	631	169	98	101	105	host	yhfZ	0.566177190966086	0	1
gene-b0039	400	443	375	298	198	223	204	324	254	131	116	124	host	caiA	0.413485863830641	0	1
gene-b2148	109	129	130	101	53	75	72	140	78	32	20	41	host	mglC	0.4741989453103458	0	1
gene-b3040	2113	2386	1397	1267	486	736	526	867	747	513	496	584	host	zupT	0.6192116575370931	0	1
