"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-T4p175",15610.3155561613,64000.1155408009,92533.8933254663,1507689.70251963,1269140.87760859,713914.623239793,8666.12076050951,6044.47089798747,7439.37506227105,5733.27701570164,4204.36722126345,123151.21084989,90839.3702929767,138726.775975787
"gene-T4p073",0,6808.52292987244,1222.72251680654,2002.14055975812,1822.51014689279,903.689396506067,1363.96805869566,1048.08589983934,1205.4677891588,1086.31889152854,1062.74834809451,1268.40781336421,1113.76190217082,1415.01379025934
"gene-T4p276",3902.57888904032,2723.40917194897,1441.06582337913,522.781146159065,423.541090475084,380.056288250215,230.373676813161,61.8202913796844,1585.20367796688,1727.21675712492,1117.61618748355,2518.1368186163,2859.29501139408,1873.72795693054
"gene-T4p127",0,1361.70458597449,829.704564975865,185.383385162789,173.266809739807,1190.84303651734,4613.44939479709,5291.67668664061,1443.27124661593,1531.49692655271,1875.16012676825,134.487418407324,138.077350957205,131.437667864853
"gene-T4p233",3902.57888904032,0,1441.06582337913,1983.60222124184,1508.06297366128,844.569529444922,79.2883838806197,22.7645401066552,739.522941167481,731.477399447292,400.558212272288,1926.99145605101,1781.77301111187,2032.17787733904
"gene-T4p277",3902.57888904032,2723.40917194897,1222.72251680654,240.998400711626,192.518677488675,168.913905888984,316.807108940805,119.648696579529,1430.1941387978,1432.69308504716,1168.11692774708,1879.47723791578,1853.38837686236,1500.99181359951
"gene-T4p129",7805.15777808063,2723.40917194897,6375.62455191981,22728.0030209579,46589.5199522593,67987.8471203162,21051.3040885794,26280.6905537923,10349.8644886094,10201.5059812527,14484.5842334003,3852.3485163922,3329.94826931612,2770.07355658032
"gene-T4p102",0,0,1790.41511389529,44814.5795292526,83931.7260958125,104194.54284762,5464.9659325516,7157.66769808447,1664.87408324104,2060.20775909644,2624.88925709148,742.677193374936,838.072666886171,851.544790552995
"gene-T4p220",3902.57888904032,1361.70458597449,2139.76440441144,3025.45684585672,2348.72786536183,1393.53972358412,1943.3232132226,1520.31524603285,2675.30971981284,2517.98393811886,2434.51000348424,2471.28414160171,2423.88422686831,2300.81802306282
"gene-T4p249",3902.57888904032,6808.52292987244,14410.6582337913,82128.5472948188,66040.323667865,34754.0361366586,1547.14111375575,1536.17490193654,2786.96489834919,2531.57273735733,2301.95376912542,11559.1469150892,8725.70393674805,17036.7429754825
"gene-T4p179",0,0,305.680629201635,237.29073300837,237.439702236032,135.131124711188,1478.0290107118,1092.96764715863,1616.89692334777,1676.28212449105,1519.25796570428,293.607515012517,326.391850312276,362.771257484134
"gene-T4p157",3902.57888904032,5446.81834389795,7248.99777821019,77052.7502090616,61124.6801026542,32245.6646342071,376.95542418394,213.727743844947,334.257539325911,235.420806614163,126.416027317674,7445.45074186149,5482.56519388251,11355.0285997531
"gene-T4p095",0,4085.11375792346,3362.48692121798,2602.78272768556,2220.38208036938,2145.2066047901,10037.4936873884,9010.98177368695,7700.9588654739,7356.47497260362,7476.93339753445,1651.16772292858,1753.77851809333,1827.44476812098
"gene-T4p096",0,1361.70458597449,1135.3851941775,845.348236342318,1251.37140367639,1900.28144125108,5604.53254164348,6029.69013024049,2920.02655274071,2946.90027391681,2999.90158124607,456.346630689435,474.775962357064,573.516239981727
